Gene,AUROC,Spearman,MSE,MAE
A2M,0.6193382274096985,0.24300001401639834,1.121848874621921,0.86954665
ABCC3,0.8552642219036135,0.6605777361882877,0.4134745117690828,0.51022077
ABHD11,0.850765299016328,0.6512945724440972,0.4226985043949551,0.5156265
ABHD17C,0.8625740518808181,0.6714557297997523,0.5346891350216336,0.5705916
ABI3BP,0.5952068022726681,0.15060855854795413,0.18362369967831504,0.295324
ABRACL,0.8518896420192319,0.6541571151848713,0.6369637184672885,0.63508
ACP5,0.6824383106673707,0.3256125746406794,0.5526355769899156,0.5719229
ACSL5,0.8670802847794669,0.6974686660311318,0.5871563189559512,0.60249037
ACSS2,0.8129546217533602,0.5817189722628741,0.4366234507825639,0.5303174
ACTA2,0.6769765668958758,0.36579584317315317,1.347331749068366,0.95478225
ACTB,0.8020668216445871,0.5927886727218262,1.1422859297858343,0.8520143
ACTG2,0.6747811469226347,0.35559143075579436,1.7689251568582323,1.0461746
ACTN1,0.7687985201305028,0.5246344046381434,0.9152499304877387,0.7739687
ADAM12,0.6218407769890756,0.21979227646752533,0.45513752433988786,0.49406296
ADAM33,0.6814655904152102,0.3251288450512177,0.27415313323338825,0.38440678
ADAMDEC1,0.71268292321972,0.3617346833239327,0.5846900360451804,0.54987895
ADAMTS1,0.5981606938755815,0.1787983694509998,0.6604737639427185,0.6399651
ADAMTS2,0.6411456748379669,0.2739299277388756,0.5065460900465647,0.56497437
ADGRG1,0.847980042167146,0.6596347819495016,0.7533905208110809,0.71499014
ADIRF,0.6325428970454573,0.2518357096717619,1.198327021466361,0.8163254
ADM,0.6861888268581147,0.33395621436671624,0.6961416552464167,0.63447934
AEBP1,0.6488790073989192,0.30288425903210325,1.1571233471234639,0.8785769
AGMAT,0.8259596012453184,0.5404048688855144,0.3312937600745095,0.399519
AGPAT2,0.8051057259949895,0.5778634817637588,0.6120565334955851,0.618618
AGR2,0.8618434978670763,0.6830876879102318,1.9469630387094286,1.0712209
AGR3,0.8361299562761404,0.5974783090911198,0.6144336925612556,0.5313423
AGT,0.5715935155111331,0.1177192020035242,0.34736839433511096,0.41523874
AHCY,0.8265330597008753,0.6214006670502008,0.5347789261076186,0.5948907
AHCYL2,0.800202255051699,0.559288767601695,0.5062979625331031,0.5590549
AHNAK,0.7096266729241305,0.41499492382574105,0.7148168385028839,0.674597
AHNAK2,0.674704128362839,0.31956057655137843,0.4446590907043881,0.5268227
AKAP1,0.8590537284288025,0.6702371611248126,0.6088343362013499,0.62790227
AKAP12,0.6692177583640077,0.32412755293061474,0.6212938759062026,0.6452229
ALDH1A1,0.586372736083031,0.17595943432871292,0.72625599304835,0.67874867
ALDH1B1,0.7501421008073885,0.47854229479049326,0.8108742634455363,0.72471154
AMN,0.8473881220386956,0.6205449295869135,0.41360718342992997,0.50782067
ANGPTL2,0.6145633800815365,0.22725262569611315,0.608207525478469,0.61708164
ANKRD22,0.8109980283792467,0.5509986905679936,0.34153828356001115,0.4177309
ANKS4B,0.8212957380563051,0.5279536167789706,0.24501890192429224,0.33998966
