Gene,AUROC,Spearman,MSE,MAE
A2M,0.5876462339566286,0.18320744807434516,1.3106101287735834,0.9322
ABCC3,0.8515348641458597,0.6511978153693866,0.4907081011268828,0.533175
ABHD11,0.8470968417249891,0.645426841305299,0.46912293632825214,0.5211572
ABHD17C,0.8596423509208155,0.6656535345399204,0.5725455201334424,0.5861738
ABI3BP,0.6003308402290909,0.15712386295305525,0.1920413134826554,0.28779694
ABRACL,0.8472709489453083,0.6466546039013755,0.8450389570660062,0.7314924
ACP5,0.6849153104579235,0.32987119216802246,0.7990367031759686,0.63696086
ACSL5,0.8603154251799453,0.6823008962156749,0.697811441289054,0.6562827
ACSS2,0.8074361170432512,0.5685910288608959,0.44068070749441784,0.53029025
ACTA2,0.6510892935756958,0.3110467835734202,1.303469479084015,0.9356114
ACTB,0.785410990909357,0.5565774193039464,1.7529252502653334,1.0822114
ACTG2,0.6580144448185627,0.3187193612208487,1.3480173018243577,0.8936099
ACTN1,0.7354170079827392,0.4585778709048865,0.9627250300513374,0.80560756
ADAM12,0.6024288083502347,0.1758332415268093,0.5219286137984859,0.5120094
ADAM33,0.6849830670833428,0.3327837025663652,0.2616679155164295,0.36715752
ADAMDEC1,0.6957686595191098,0.3344174381855861,0.4467952251434326,0.46976572
ADAMTS1,0.5847750636459267,0.15917616382746227,0.69098143113984,0.64957166
ADAMTS2,0.6185988494371997,0.23084807469517296,0.6088426411151886,0.6234049
ADGRG1,0.8494390922634039,0.6595909434526491,0.8467931581868066,0.7274807
ADIRF,0.6353392198911814,0.2590105841897523,1.2476986249287922,0.8144454
ADM,0.6825162176972487,0.32631159090833883,0.6320862703853183,0.5778621
AEBP1,0.6163901011913074,0.2374303683326596,1.5143482287724812,1.0107757
AGMAT,0.8272808432313743,0.5404870031841562,0.34255845182471806,0.39316553
AGPAT2,0.7999999968956208,0.5676894028729706,0.7430058850182427,0.6718614
AGR2,0.8612620212701931,0.6832316562455703,2.0174034039179483,1.0682403
AGR3,0.8317080555994004,0.5908162613642554,0.6601635598474078,0.55023825
AGT,0.48816834157786715,-0.03997855789564621,0.3517199837499195,0.40291604
AHCY,0.8345397994742847,0.631949031798574,0.6260559492641025,0.6301475
AHCYL2,0.7903498598555824,0.5405909969758281,0.47039754026465946,0.52205217
AHNAK,0.7082555996480158,0.41330624681021116,0.8648738927311368,0.76268655
AHNAK2,0.6502100295108072,0.2773746728534252,0.45718252741628224,0.51838213
AKAP1,0.8499913506600077,0.6541736743629323,0.601819309923384,0.6266866
AKAP12,0.6542810931643452,0.2930115650246576,0.5998212463325925,0.6321647
ALDH1A1,0.5728990940810317,0.1501676503175865,0.7949582238992056,0.7044226
ALDH1B1,0.7223019568717529,0.4274222375399949,0.9968108402358161,0.8179584
AMN,0.841634021901837,0.6064378891602009,0.38924915591875714,0.46515232
ANGPTL2,0.577144273178098,0.15552620920181492,0.6220837086439133,0.6305102
ANKRD22,0.8161082678487643,0.5548925072693822,0.452199540204472,0.4794458
ANKS4B,0.816461850700463,0.5221582092356701,0.2938735642366939,0.38606527
ANO9,0.8493152514390161,0.6461408850899377,0.5197175045808157,0.56314266
ANP32B,0.815056227824468,0.5771548311304503,0.7397717303699918,0.65395755
ANTXR1,0.6059388085411892,0.21169265435838946,1.0396577417850494,0.8191897
ANXA13,0.7771542470063486,0.4068070520953364,0.2046351416243447,0.2890345
ANXA2,0.8369585794957086,0.6454887874224171,1.4046126471625433,0.9695756
ANXA3,0.8241221071372683,0.6044208106269511,0.6043461958567301,0.59994423
ANXA4,0.8621648096070127,0.6755809406323281,0.976292159822252,0.79974616
ANXA6,0.6460608658927388,0.28898500114268433,0.785950995153851,0.72953457
AOC1,0.7945631428970654,0.5011269584274172,0.6021015412277646,0.58044106
AP1M2,0.8308086490264637,0.5066263467605078,0.24770300711194673,0.3182563
AP1S1,0.8455077454931696,0.6392287192352692,0.7246851887967851,0.65664124
APOBR,0.7093663003191786,0.3845642408336039,0.49350574281480575,0.55849266
APOD,0.5303743180775412,0.050172095223660756,0.8304751465717951,0.688679
APOE,0.6610396827642122,0.321091079779545,2.4054515891604953,1.208269
AQP1,0.5868855485586817,0.16895551303216377,0.7329712476995256,0.69290113
AREG,0.7215756309129637,0.409963921580523,0.5785551518201828,0.5495017
ARHGAP8,0.8573971078869287,0.6433527016930153,0.3893590089347627,0.4590399
ARHGEF16,0.8559842603496182,0.63887164124773,0.3874575247367223,0.44829783
ARHGEF25,0.653726434649221,0.2720003811944062,0.31763018833266365,0.42640224
ARHGEF38,0.8300139556412709,0.5686285021426492,0.3401828035712242,0.41927293
ARSE,0.8422704360362083,0.5742215544192706,0.3831568095419142,0.4439721
ASCL2,0.7691623941468734,0.4709125651826891,0.8605495029025607,0.69166374
ASF1B,0.8262978963826791,0.5707468438686778,0.5442892528242536,0.5271033
ASPN,0.5784145612592498,0.14106139286919067,0.8100309719642004,0.6762973
ASS1,0.8489056000644606,0.6483872746686566,1.4801334540049236,0.9222618
ATF3,0.6666489805870428,0.3107118800663316,0.6516054703129662,0.6315741
ATIC,0.8402830791728806,0.6339466865149583,0.7094245056311289,0.6572466
ATP10B,0.8163527871893748,0.5491882259845353,0.5408214380343755,0.527579
ATP1A1,0.8582681634854674,0.6609261764346406,0.9764489067925347,0.77103376
ATP1B1,0.8759761799075719,0.6832809398803512,1.683090415265825,1.0355898
