Gene,AUROC,Spearman,MSE,MAE
A2M,0.6457061055865314,0.29974671487443116,1.0320892855525017,0.8265905
ABCC3,0.865731594008983,0.6805178045336122,0.3280581384897232,0.43819496
ABHD11,0.8558472622302609,0.6580383185736686,0.3419940918684006,0.4425951
ABHD17C,0.8752610365962178,0.6884210098189072,0.41914699971675873,0.4913926
ABI3BP,0.6141932020168847,0.18577518855125277,0.18196600954979658,0.33207408
ABRACL,0.8613046929244613,0.6767368291729694,0.48006297275424004,0.55336463
ACP5,0.7137534555988005,0.3869363197105175,0.5239503644406796,0.5511629
ACSL5,0.8764730319630735,0.7170721892901661,0.4668632373213768,0.54144365
ACSS2,0.8297202227156343,0.6157471999390035,0.3538076672703028,0.4740294
ACTA2,0.7431600889776437,0.49334101121916857,1.0528356805443764,0.8181906
ACTB,0.8309329062190242,0.6443034682974442,0.738339863717556,0.67999846
ACTG2,0.7137643781615672,0.4191953856638714,0.9526130892336369,0.7675621
ACTN1,0.7980627039444199,0.5808479089681287,0.5528240390121937,0.5851253
ADAM12,0.6895361271952815,0.34641662107692606,0.4087377833202481,0.48413095
ADAM33,0.6979675318897776,0.34954616869086047,0.20737111195921898,0.36137372
ADAMDEC1,0.7341649198072139,0.3997023762701437,0.44896735064685345,0.48767048
ADAMTS1,0.5944689511015784,0.17769634752495922,0.6394688412547112,0.6416834
ADAMTS2,0.708944575358051,0.40210104542850483,0.41744542121887207,0.5153122
ADGRG1,0.8624994526598848,0.681389124716377,0.5414135064929724,0.577586
ADIRF,0.6042254201299038,0.19019560487485968,1.3093104660511017,0.8815781
ADM,0.6967603991193884,0.3517381424253191,0.5584354195743799,0.5725785
AEBP1,0.7170214714483344,0.44188098214515215,1.0076683089137077,0.81111914
AGMAT,0.8314804868496131,0.5608701079797154,0.3066296176984906,0.3848136
AGPAT2,0.822856019876828,0.6110728396565728,0.5051531232893467,0.56703794
AGR2,0.8628465461681866,0.6831674165928563,1.453697893768549,0.9329355
AGR3,0.8336357649747497,0.5986759839746484,0.5610099714249372,0.528637
AGT,0.6000115249334117,0.16127930723932987,0.36437327414751053,0.4485579
AHCY,0.8500245673149512,0.6556197350414185,0.40871493332087994,0.50800663
AHCYL2,0.8068608843464797,0.5830053595579673,0.39595585502684116,0.48803732
AHNAK,0.7647491431835559,0.517162893706747,0.5231290645897388,0.5776387
AHNAK2,0.6906623998533076,0.34926808996117953,0.3647534418851137,0.4815374
AKAP1,0.8744773943337256,0.6984515036818081,0.5007011890411377,0.56213295
AKAP12,0.705944986075985,0.39669947061642474,0.465643722563982,0.55634004
ALDH1A1,0.5624283575938946,0.13342068444323998,0.7716883458197117,0.700402
