Gene,AUROC,Spearman,MSE,MAE
A2M,0.6085276314782531,0.22179767009067639,1.1603965295685663,0.87634397
ABCC3,0.8628935780008082,0.6731370053800548,0.36463413139184314,0.4727469
ABHD11,0.8604987566413538,0.6691735425840559,0.33839826616976,0.44969097
ABHD17C,0.8699970456494763,0.6870590689293663,0.4713827901416355,0.5347673
ABI3BP,0.6153873830993055,0.1858119849700465,0.1748021211889055,0.3222571
ABRACL,0.8611660544568481,0.6704585322750344,0.6038405266073015,0.6276068
ACP5,0.6849745643149715,0.3310978399818505,0.5665047102504306,0.57126117
ACSL5,0.8727494486937853,0.7055099391081642,0.6019314792421129,0.61465394
ACSS2,0.8145507816646581,0.5837886740378672,0.38585540817843544,0.49742234
ACTA2,0.7272512273099268,0.46032742834530105,1.1762772003809612,0.88115335
ACTB,0.8188831038928959,0.6215602943837883,1.1442824734581842,0.8363872
ACTG2,0.6976925865968007,0.3973509223185713,1.1084232462777033,0.8367276
ACTN1,0.7931914914607803,0.5694691568018025,0.7321925626860725,0.6780434
ADAM12,0.6539221270299587,0.27568904967550223,0.4189198381370968,0.51008093
ADAM33,0.7023209051677038,0.3640590159529127,0.22292609264453253,0.37817305
ADAMDEC1,0.7136544720861102,0.3593175110502292,0.48520447313785553,0.50334656
ADAMTS1,0.6012307866816363,0.18829169478892177,0.6198342541853586,0.63753825
ADAMTS2,0.6734615324218469,0.33377242538920693,0.4404082116153505,0.54138654
ADGRG1,0.8577763620730553,0.6783850671406293,0.6625813113318549,0.64752626
ADIRF,0.6192359148707792,0.22452453496988845,1.3850729366143544,0.9023927
ADM,0.6886390851801036,0.33862058573227016,0.6101457559400134,0.60747695
AEBP1,0.6868702343183788,0.38153549398480013,1.130193875895606,0.864572
AGMAT,0.8293449815012134,0.546202592448443,0.29099560115072465,0.3718592
AGPAT2,0.8043934248641803,0.5797052764377706,0.6174703935782114,0.6248887
AGR2,0.8735714617822438,0.7083378536160949,1.4650034970707364,0.95522213
AGR3,0.8329034137339391,0.592068999470602,0.5461376822657056,0.51531225
AGT,0.5529728765115127,0.07909085996159866,0.3503398978047901,0.44678953
AHCY,0.8437906890615425,0.6528674967616495,0.5004594657156203,0.56892574
AHCYL2,0.8075473239422568,0.5738505219098673,0.41959383421474034,0.51097035
AHNAK,0.7275844657805913,0.44467677096696456,0.6130485435326894,0.61694735
AHNAK2,0.6912678313652907,0.3490034716492894,0.36678731110360885,0.49181467
AKAP1,0.8700780395013287,0.6921249121499611,0.5545269151528677,0.5959429
AKAP12,0.6989358925379108,0.38074852606718795,0.488319112194909,0.57464635
ALDH1A1,0.5358756730912729,0.08083349339400102,0.7576975193288591,0.7048186
ALDH1B1,0.7751519226182538,0.5274046531952199,0.8063586321141984,0.72436106
AMN,0.8635635428688402,0.6507483683677208,0.32808976868788403,0.4324833
ANGPTL2,0.6518099413327421,0.30058208153387,0.5073230034775205,0.57740253
ANKRD22,0.8314918949105324,0.580720907658732,0.3254716371496518,0.42371285
ANKS4B,0.819614658776775,0.5222207288142904,0.243849602010515,0.34305176
ANO9,0.8574068099121623,0.6588416036682739,0.4497654653257794,0.5129074
ANP32B,0.815071549837195,0.5810959731925458,0.5831692119439443,0.60605115
ANTXR1,0.6727611940980756,0.3421852124132127,0.8452864719761742,0.744014
ANXA13,0.7699682031439973,0.39429364755437546,0.21644157667954764,0.30395758
ANXA2,0.8538168573396832,0.6805078414282196,0.9075055917104086,0.752167
ANXA3,0.8391453925354833,0.6310471547187901,0.4884740594360564,0.551562
ANXA4,0.8807307596199021,0.7072104772068103,0.7305735846360525,0.6873766
ANXA6,0.6780404243896196,0.3539141466147145,0.6719929277896881,0.66476685
AOC1,0.8009536519757662,0.5194151243003942,0.44326094620757633,0.5027448
AP1M2,0.8343090724538486,0.5134342213566323,0.20014028292563227,0.29858533
AP1S1,0.855611133834673,0.6601074484783294,0.532135354148017,0.5749856
APOBR,0.7243349755756441,0.4130623428358835,0.41831820209821063,0.5106258
APOD,0.5587430483911627,0.10551768292225226,0.714418586757448,0.6752096
APOE,0.688951194307243,0.37177223477531,1.7227286100387573,1.0448829
AQP1,0.6141553036960837,0.22640176090054848,0.681943052344852,0.6787412
AREG,0.729314160721652,0.42645270309869787,0.4744609081082874,0.52006364
ARHGAP8,0.8662319719288912,0.6592542019160198,0.3305836170911789,0.43195063
ARHGEF16,0.8645425957930404,0.6565192872333871,0.33509126636717057,0.43714014
ARHGEF25,0.6807381452418813,0.3229673963399797,0.26427919334835476,0.4255777
ARHGEF38,0.8355743371633846,0.5789066257347842,0.3173396231399642,0.3966353
ARSE,0.8402386413966421,0.571355883176746,0.33866383797592586,0.42515314
ASCL2,0.7711747116250554,0.4706310382667446,0.8274096714125739,0.67627263
ASF1B,0.8369451556057526,0.5880206803227574,0.4284532450967365,0.47501427
ASPN,0.6386353309814617,0.25477344632458643,0.6526796023050944,0.651685
ASS1,0.8577636404812325,0.667972612562465,1.036937157313029,0.794842
ATF3,0.675430359831036,0.32963869075614477,0.5713773270448049,0.61562514
ATIC,0.85156390548034,0.6567982132365688,0.4990289608637492,0.56549615
ATP10B,0.8149667975852929,0.5446417694107906,0.5073677880896462,0.51212865
ATP1A1,0.871895540329966,0.6875777041320283,0.7749636868635813,0.6868857
ATP1B1,0.8891246877557385,0.7112472549848083,1.3693377309375339,0.9232235
ATP2C2,0.8721619989969981,0.6767369437886208,0.5552956793043349,0.55495983
ATP5F1B,0.8491552552086438,0.6608099102434876,0.916154553492864,0.7646266
ATP5MC3,0.830118674145102,0.6070673460981595,0.5814866026242574,0.6085333
ATP8B1,0.8559835363487359,0.6818504993110518,0.5611828664938608,0.60268295
AURKB,0.8284644811617917,0.5535187946903318,0.3247649934556749,0.41214693
AZGP1,0.7819107831867137,0.4861600676984515,0.722561799817615,0.5990107
B2M,0.762552642450069,0.5171395087185595,1.7941315703921847,1.095769
B3GALT5,0.7299777637420234,0.3640934797586556,0.37927698095639545,0.43275914
B3GNT3,0.8666756638651177,0.6589994356191732,0.6266816606124243,0.5849154
BAG2,0.7056867846630248,0.385459848728258,0.47142063577969867,0.55235153
BAIAP2L1,0.8850748673459883,0.7201390096225716,0.5198370648754967,0.5648862
BAIAP2L2,0.844779196710053,0.6094896909183184,0.46146751277976567,0.49553645
BCL10,0.8465143261854762,0.6521007084569113,0.4731256001525455,0.54955983
BCL11A,0.7539548821112668,0.4579154843413076,0.5168960028224521,0.5555488
BDH1,0.852876654719665,0.6346094448704371,0.3353204213910633,0.43196362
BGN,0.7098415492184196,0.42146621857688593,1.394157224231296,0.9620321
BHLHE40,0.7850214620424665,0.5457508334441667,0.7345701621638404,0.68646735
BICDL2,0.8393534327322281,0.6071327610795242,0.2905459122525321,0.41009083
BMP4,0.7955190014243609,0.5478479589617491,0.5121646523475647,0.5443608
BOC,0.6923673418800305,0.3535334845183966,0.33209743433528477,0.47723395
BRI3BP,0.853322828182439,0.6564586272091137,0.4975884672668245,0.5429209
BSPRY,0.8435472193235811,0.589805819343083,0.42047220799658036,0.45514733
BTG2,0.6579454084748596,0.31930959403065834,0.6004003716839684,0.62237483
BUB1,0.8067625160946259,0.5061356540937049,0.30303333948055905,0.38088775
BZW2,0.8417206048449072,0.6411922403906719,0.46374212039841545,0.5383294
C11orf96,0.6474621576436079,0.28131835251489207,0.720592737197876,0.68358773
C12orf75,0.8489179723891365,0.6464718753802955,0.8514428536097208,0.7335664
C15orf48,0.712148763054732,0.371756414852756,1.0027384923564062,0.7350806
C19orf33,0.8692875853168085,0.687778986281773,0.7532487213611603,0.68558025
C19orf48,0.8363288873672683,0.6082396698516894,0.4029991030693054,0.48692948
C1QA,0.6298679794319192,0.24892375188024257,1.4228069914711847,0.96229255
C1QB,0.6224731433173414,0.23569380122468006,1.3181769053141277,0.91906327
C1QBP,0.8460747345626856,0.6251153235731786,0.601419394214948,0.6011011
C1QC,0.6298547092608211,0.2530130772275094,1.395303659968906,0.9567536
