Gene,AUROC,Spearman,MSE,MAE
A2M,0.6724616256051643,0.35376121555114565,1.0697915421591864,0.835234
ABCC3,0.8750394546904701,0.6937105739189209,0.3459731340408325,0.4530655
ABHD11,0.8687261825435276,0.6816639911475764,0.33351367380883956,0.44277442
ABHD17C,0.8809508422330476,0.7063521006763802,0.4129962921142578,0.49405465
ABI3BP,0.6465450618392697,0.23293869566353406,0.16820317755142847,0.31205416
ABRACL,0.8697484883001421,0.6854841427481763,0.571767528851827,0.6115563
ACP5,0.7048431259670682,0.364424770767884,0.522465341620975,0.5477961
ACSL5,0.8818476668547592,0.7223534739238938,0.546966960032781,0.5872685
ACSS2,0.8257646779799189,0.6045839976671217,0.37791509760750663,0.4874121
ACTA2,0.7640315774554899,0.5359348462964487,0.8690593838691711,0.7504809
ACTB,0.8369483314534811,0.6603921218397252,0.8714065253734589,0.73952365
ACTG2,0.7415246542889865,0.47424297916535174,0.8497477405601077,0.73901284
ACTN1,0.8115432757313684,0.6077876368118055,0.524769749906328,0.5741557
ADAM12,0.712553150080691,0.37666950288295314,0.33503200362126034,0.43716007
ADAM33,0.724815787541961,0.4026276574775136,0.2108490922384792,0.36419454
ADAMDEC1,0.722735729803938,0.36739604566110157,0.4512961937321557,0.5085302
ADAMTS1,0.6459380585832396,0.2738591291789106,0.5918575094805824,0.62090766
ADAMTS2,0.7327959243324631,0.4433377424558225,0.37489232420921326,0.489038
ADGRG1,0.8622442436356784,0.6854346156981386,0.6246359248956045,0.62422746
ADIRF,0.6166111106756631,0.2162034267363843,1.3757591843605042,0.8738069
ADM,0.704274107190777,0.3651420055458831,0.5744439827071296,0.5803622
AEBP1,0.7402905929146951,0.4897880335756175,0.7983912759357028,0.71625817
AGMAT,0.8354850049192337,0.553239714608393,0.30709078328477013,0.3840358
AGPAT2,0.8253644705610779,0.6128564854101243,0.5831710994243622,0.5973049
AGR2,0.8813477455163583,0.7213651088368137,1.2576313118139903,0.86234343
AGR3,0.8477249487534804,0.6189479308767134,0.4753408879041672,0.48197848
AGT,0.5743333641750655,0.11865122055416027,0.34873396572139526,0.45176166
AHCY,0.8434949127414877,0.6529868872378253,0.4392908927467134,0.5231489
AHCYL2,0.830065056060169,0.6200134020437598,0.4159853640529845,0.50235826
AHNAK,0.7770703003842284,0.5442123229782765,0.5004309581385719,0.55979306
AHNAK2,0.7242881102422591,0.41317004216810926,0.3344292574458652,0.45968115
AKAP1,0.8818894674922738,0.7172075086034864,0.49998001588715446,0.56254363
AKAP12,0.7227072872523288,0.43580945661231524,0.4339548581176334,0.53589225
ALDH1A1,0.5634320214588581,0.13276843190411938,0.7895010444853041,0.7217315
ALDH1B1,0.7819180893422149,0.5394474710343015,0.7934965391953787,0.71085066
AMN,0.8773327477747914,0.6802920468521221,0.29668818248642814,0.40726393
ANGPTL2,0.6872150637791359,0.3705274002922314,0.44693181415398914,0.5347816
ANKRD22,0.8353673327192566,0.5849895576847888,0.28905241356955635,0.3928135
ANKS4B,0.8275578918118307,0.5367344983577361,0.2580284575621287,0.3547637
ANO9,0.8606370258304368,0.6616589326818146,0.4689489073223538,0.51767653
ANP32B,0.8279278854954899,0.6021479220687307,0.47226260436905754,0.533558
ANTXR1,0.7331234322451335,0.4589058727067104,0.5634179247750176,0.5965012
ANXA13,0.7651555389048895,0.3833997443296602,0.2123590028948254,0.3085655
ANXA2,0.8687460870999775,0.7074321172135574,0.6803679267565409,0.64932513
ANXA3,0.8454401696537677,0.6425429215152249,0.4430216865407096,0.51195276
ANXA4,0.8893813296257534,0.7247376332283574,0.6278292569849226,0.63304496
ANXA6,0.719574044647896,0.43748237049053174,0.5479238099522061,0.5982293
AOC1,0.8215126603612535,0.555471005813965,0.46776262587971157,0.5111633
AP1M2,0.8421600985312316,0.5205584105366603,0.20215201791789797,0.3048789
AP1S1,0.8602209823990612,0.6672068250664354,0.4967716253466076,0.55022204
APOBR,0.7441368535429363,0.44841907819176513,0.4326478938261668,0.51815385
APOD,0.5842131269051474,0.145421760638577,0.6294150352478027,0.6166264
APOE,0.7186036975314319,0.4325045060393875,1.5346690548790827,0.9840532
AQP1,0.6331368865406852,0.26487218441341553,0.6308544046348996,0.647271
AREG,0.7454927625088462,0.45113942145582175,0.4425979405641556,0.50712144
ARHGAP8,0.8686057063885482,0.6635596958569585,0.3104984280135896,0.4148694
ARHGEF16,0.8760517613236865,0.6776428696283383,0.29149288766913944,0.39461708
ARHGEF25,0.7190512829738327,0.3908640745490343,0.22845334476894802,0.38394538
ARHGEF38,0.8410133363426289,0.5875635573155363,0.32059885892603135,0.40541095
ARSE,0.8449625899501786,0.5787922192238724,0.30918580873144996,0.39978036
ASCL2,0.7698087228340262,0.4685134286661879,0.8410617642932467,0.6691355
ASF1B,0.8349410960385385,0.5859484280156357,0.36088042457898456,0.4397963
