CUDA_VISIBLE_DEVICES=0
Overall precision: tensor(0.4705, device='cuda:0')
Overall recall: tensor(0.5862, device='cuda:0')
Overall tp: tensor(174798., device='cuda:0')
Overall tn: tensor(721892., device='cuda:0')
Overall fp: tensor(196721., device='cuda:0')
Overall fn: tensor(123389., device='cuda:0')
Overall precision: tensor(0.5141, device='cuda:0')
Overall recall: tensor(0.3524, device='cuda:0')
Overall tp: tensor(104940., device='cuda:0')
Overall tn: tensor(758425., device='cuda:0')
Overall fp: tensor(99199., device='cuda:0')
Overall fn: tensor(192811., device='cuda:0')
Overall precision: tensor(0.4914, device='cuda:0')
Overall recall: tensor(0.3872, device='cuda:0')
Overall tp: tensor(115303., device='cuda:0')
Overall tn: tensor(738299., device='cuda:0')
Overall fp: tensor(119325., device='cuda:0')
Overall fn: tensor(182448., device='cuda:0')
Overall precision: tensor(0.6663, device='cuda:0')
Overall recall: tensor(0.6366, device='cuda:0')
Overall tp: tensor(309593., device='cuda:0')
Overall tn: tensor(534481., device='cuda:0')
Overall fp: tensor(155074., device='cuda:0')
Overall fn: tensor(176702., device='cuda:0')
Overall precision: tensor(0.6523, device='cuda:0')
Overall recall: tensor(0.6718, device='cuda:0')
Overall tp: tensor(326697., device='cuda:0')
Overall tn: tensor(515427., device='cuda:0')
Overall fp: tensor(174128., device='cuda:0')
Overall fn: tensor(159598., device='cuda:0')
Overall precision: tensor(0.5524, device='cuda:0')
Overall recall: tensor(0.5075, device='cuda:0')
Overall tp: tensor(690627., device='cuda:0')
Overall tn: tensor(2844268., device='cuda:0')
Overall fp: tensor(559690., device='cuda:0')
Overall fn: tensor(670240., device='cuda:0')
Overall precision: tensor(0.6306, device='cuda:0')
Overall recall: tensor(0.7471, device='cuda:0')
Overall tp: tensor(336241., device='cuda:0')
Overall tn: tensor(523980., device='cuda:0')
Overall fp: tensor(196948., device='cuda:0')
Overall fn: tensor(113806., device='cuda:0')
Overall precision: tensor(0.5663, device='cuda:0')
Overall recall: tensor(0.8792, device='cuda:0')
Overall tp: tensor(395686., device='cuda:0')
Overall tn: tensor(417888., device='cuda:0')
Overall fp: tensor(303040., device='cuda:0')
Overall fn: tensor(54361., device='cuda:0')
Overall precision: tensor(0.2908, device='cuda:0')
Overall recall: tensor(0.4705, device='cuda:0')
Overall tp: tensor(21386., device='cuda:0')
Overall tn: tensor(599512., device='cuda:0')
Overall fp: tensor(52161., device='cuda:0')
Overall fn: tensor(24066., device='cuda:0')
Overall precision: tensor(0.3637, device='cuda:0')
Overall recall: tensor(0.3740, device='cuda:0')
Overall tp: tensor(16999., device='cuda:0')
Overall tn: tensor(621927., device='cuda:0')
Overall fp: tensor(29746., device='cuda:0')
Overall fn: tensor(28453., device='cuda:0')
Overall precision: tensor(0.5274, device='cuda:0')
Overall recall: tensor(0.8901, device='cuda:0')
Overall tp: tensor(329430., device='cuda:0')
Overall tn: tensor(340943., device='cuda:0')
Overall fp: tensor(295169., device='cuda:0')
Overall fn: tensor(40658., device='cuda:0')
Overall precision: tensor(0.5623, device='cuda:0')
Overall recall: tensor(0.8681, device='cuda:0')
Overall tp: tensor(321268., device='cuda:0')
Overall tn: tensor(386034., device='cuda:0')
Overall fp: tensor(250078., device='cuda:0')
Overall fn: tensor(48820., device='cuda:0')
Overall precision: tensor(0.4268, device='cuda:0')
Overall recall: tensor(0.1675, device='cuda:0')
Overall tp: tensor(15802., device='cuda:0')
Overall tn: tensor(1074919., device='cuda:0')
Overall fp: tensor(21220., device='cuda:0')
Overall fn: tensor(78534., device='cuda:0')
Overall precision: tensor(0.3603, device='cuda:0')
Overall recall: tensor(0.1391, device='cuda:0')
Overall tp: tensor(13126., device='cuda:0')
Overall tn: tensor(1072830., device='cuda:0')
Overall fp: tensor(23309., device='cuda:0')
Overall fn: tensor(81210., device='cuda:0')
Overall precision: tensor(0.5521, device='cuda:0')
Overall recall: tensor(0.7783, device='cuda:0')
Overall tp: tensor(747079., device='cuda:0')
Overall tn: tensor(2498679., device='cuda:0')
Overall fp: tensor(606173., device='cuda:0')
Overall fn: tensor(212844., device='cuda:0')
